rank,coin,difficulty,exchangeRate,volume,profit
1,Quark,710.0944,0.00000303,0.43,$19.61
2,WildBeastBitcoin,108.3860,0.00069134,6.98,$17.49
3,Dash,"114,732.6431",0.04819965,"2,433.91",$13.59
4,MonetaryUnit,"283,171.9243",0.00001990,23.56,$12.92
5,Digitalcoin-X11,71.7958,0.00000969,0.18,$12.11
6,StartCoin,220.5579,0.00001401,19.06,$11.40
7,Ethereum,"424,640,003,691,548",0.05733300,"4,865.67",$12.49
8,CHNCoin,54.1472,0.00000171,0.39,$12.19
9,eMark,"7,696,363.9012",0.00000647,0.32,$15.86
10,Zcash,"1,415,753.4597",0.05265786,"1,304.31",$9.18
11,Auroracoin,259.4843,0.00022500,3.92,$9.51
12,GameCredits,"13,123.7411",0.00112700,734.22,$9.42
13,Novacoin,"6,383.7182",0.00231076,40.03,$9.22
14,Monero,"7,828,870,201.0000",0.01603641,220.77,$7.82
15,Peercoin,"1,601,467,254.6533",0.00106988,349.22,$12.60
16,Zetacoin,"82,633.9925",0.00000271,0.03,$12.38
17,DigiByte,"1,443.3384",0.00000314,"1,218.13",$8.51
18,Quatloo,34.0382,0.00001516,5.51,$8.31
19,Bitbar,242.7433,0.00439337,0.21,$7.95
20,Goldcoin,58.4349,0.00002400,1.02,$7.21
21,DNotes,324.4809,0.00002426,127.39,$7.03
22,Belacoin,"2,931.0873",0.00008815,164.71,$6.60
23,Litecoin,"232,423.6287",0.01395086,"17,769.78",$6.58
24,Megacoin,379.7583,0.00004444,0.90,$6.42
25,Mazacoin,"2,214,285.9887",0.00000006,0.04,$10.23
26,Blakecoin,"3,669.5421",0.00000177,3.15,$5.39
27,Florincoin,569.2907,0.00003275,67.06,$6.31
28,Nyancoin,1.6624,0.00000005,0.00,$5.56
29,Worldcoin,121.9566,0.00000947,0.15,$5.50
30,Sexcoin,5.4721,0.00000054,0.57,$5.41
31,Emerald,0.3646,0.00000084,0.11,$5.06
32,Verge,275.0321,0.00000020,621.31,$4.98
33,Digitalcoin-SHA-256,"2,145,581.8770",0.00000969,0.18,$8.52
34,Bitcoin,"559,970,892,890.8380",1.00,"37,855.69",$8.42
35,BATA,50.5347,0.00012459,5.54,$4.23
36,Gulden,"3,432.3106",0.00003305,54.35,$4.23
37,Groestlcoin,35.7761,0.00001234,2.60,$3.68
38,Vertcoin,"3,719.7696",0.00019272,220.98,$3.10
39,Einsteinium,145.7016,0.00001666,"2,842.24",$4.01
40,Spots,4.8211,0.00000039,0.15,$3.99
41,Casinocoin,8.0940,0.00000671,2.36,$3.64
42,Feathercoin,8.0201,0.00001376,18.43,$2.19
43,Diamond,60.6553,0.00049569,1.64,$2.93
44,ArtByte,378.4220,0.00000070,6.64,$3.25
45,Digitalcoin-Scrypt,77.6905,0.00000969,0.18,$2.74
46,Joulecoin,"115,120.1287",0.00000025,0.00,$6.56
47,Phoenixcoin,0.1536,0.00000045,0.05,$1.17
48,CannabisCoin,0.0184,0.00000243,1.83,$0.48
49,Unbreakable,"85,888,520.5720",0.00002877,1.37,$6.32
50,Bottlecaps,3.7665,0.00000021,0.01,$2.45
51,Aricoin,3.8484,0.00000001,0.00,$2.28
52,Securecoin,"202,983.4649",0.00000022,0.00,$0.02
53,ScoreCoin,32.5457,0.00000006,0.01,$2.02
54,Orbitcoin,1.1381,0.00004128,0.00,$0.58
55,Crown,"139,977,293.8369",0.00035700,10.06,$4.33
56,Curecoin,"46,675,942.3127",0.00004103,2.32,$4.31
57,Dogecoin,"88,051.7818",0.00000080,23.61,$0.40
58,Viacoin,"15,972.1745",0.00018181,58.57,$0.03
59,Tigercoin,"19,017.7906",0.00000012,0.00,$2.38
60,Acoin,"117,804.0968",0.00001290,0.49,$0.41
61,Terracoin,"293,405,844.6938",0.00000725,0.97,$0.19
62,TEKcoin,"40,755.9404",0.00000001,0.35,$0.09
63,Namecoin,"264,459,529,140.4100",0.00108020,275.34,$0.04
64,Unobtanium,"432,971,202.0984",0.00926980,9.31,$0.02
N/A,Zclassic,"79,279.5388",0.00315000,1.65,$12.26
N/A,Maxcoin,43.4389,0.00000100,0.00,$14.69
N/A,UniversalCurrency,"290,256.1263",0.00000127,3.72,$8.26
N/A,HAMRadioCoin,"3,267.7897",0.00000004,0.00,$1.80
N/A,Ethereum-Classic,"29,261,020,233,478",0.00364369,0.85,$11.52
